Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA
HD0001,5/24/2026,Postgraduate Student,Library,ID Card,ID card details incorrect,Low,4.99,8.21,Closed,Yes,Within 8 Hours
HD0002,7/7/2026,Student,Library,Registration,Registration page not responding,Medium,3.71,13.98,Closed,Yes,Within 8 Hours
HD0003,4/23/2026,Staff,Student Affairs,Email,University email not working,High,1.32,5.01,Closed,Yes,Within 8 Hours
HD0004,4/3/2026,Staff,Registry,Internet/Network,Wi-Fi connection unstable,Medium,6.2,10.06,Closed,Yes,Within 8 Hours
HD0005,1/25/2026,Postgraduate Student,College of Animal Science,Software/MIS,Application access problem,Low,2.94,5.22,Closed,Yes,Within 8 Hours
HD0006,1/16/2026,Postgraduate Student,Academic Planning,Software/MIS,Software installation request,Medium,2.02,4.97,Closed,Yes,Within 8 Hours
HD0007,5/1/2026,Student,ICTREC,Hardware,Printer not responding,High,1.71,2.8,Closed,Yes,Within 8 Hours
HD0008,1/23/2026,Student,College of Veterinary Medicine,Payment/Invoice,Payment confirmation delayed,Medium,1.01,3.82,Closed,Yes,Within 8 Hours
HD0009,8/29/2026,Postgraduate Student,Library,Internet/Network,Cannot access campus Internet,Medium,1.49,7.5,Closed,Yes,Within 8 Hours
HD0010,3/14/2026,Staff,Postgraduate School,Email,University email not working,Low,2.31,2.78,Closed,Yes,Within 8 Hours
HD0011,8/27/2026,Postgraduate Student,College of Engineering,Clearance,Unable to complete online clearance,Medium,5.82,4.49,Closed,Yes,Within 8 Hours
HD0012,4/24/2026,Student,Library,Portal,Programme information not updating,Medium,2.7,22.77,In Progress,No,Within 8 Hours
HD0013,6/14/2026,Student,College of Plant Science,Internet/Network,Slow Internet connection,Low,2.82,8.15,Closed,Yes,Within 8 Hours
HD0014,5/26/2026,Student,College of Agricultural Management,Admission,Admission portal error,Critical,0.42,10.21,Pending,No,Within 8 Hours
HD0015,3/21/2026,Postgraduate Student,Postgraduate School,Admission,Change of course not reflecting,High,1.08,5.15,Closed,Yes,Within 8 Hours
HD0016,2/1/2026,Postgraduate Student,Student Affairs,Registration,Registration page not responding,High,1.08,22.04,In Progress,No,Within 8 Hours
HD0017,5/20/2026,Student,College of Engineering,ID Card,ID card details incorrect,Medium,2.58,31.16,In Progress,No,Within 8 Hours
HD0018,5/30/2026,Staff,Academic Planning,Registration,Unable to submit course registration,Low,5.97,9.6,In Progress,No,Within 8 Hours
HD0019,5/25/2026,Staff,College of Plant Science,Registration,Registered course not displaying,Low,4.26,0.79,Closed,Yes,Within 8 Hours
HD0020,7/6/2026,Staff,Library,Email,Mailbox access problem,High,0.72,6.63,Closed,Yes,Within 8 Hours
HD0021,3/9/2026,Postgraduate Student,College of Engineering,Others,System access request,High,2.25,5.65,Closed,Yes,Within 8 Hours
HD0022,1/20/2026,Student,College of Environmental Resources,Payment/Invoice,Invoice not generated,Low,3.57,2.47,Closed,Yes,Within 8 Hours
HD0023,2/7/2026,Student,Library,Clearance,Clearance record not displaying,Medium,1.15,43.06,Pending,No,Within 8 Hours
HD0024,4/23/2026,Student,Postgraduate School,Email,Email messages not being received,Low,2.95,15.3,Closed,Yes,Within 8 Hours
HD0025,7/28/2026,Student,College of Veterinary Medicine,Website/Multimedia,University webpage not updating,Low,4.59,16.44,Pending,No,Within 8 Hours
HD0026,8/16/2026,Staff,Bursary,Internet/Network,Slow Internet connection,Low,4.54,24.61,In Progress,No,Within 8 Hours
HD0027,1/8/2026,Postgraduate Student,Registry,Website/Multimedia,University webpage not updating,Medium,1.79,44.91,In Progress,No,Within 8 Hours
HD0028,8/24/2026,Student,College of Agricultural Management,Software/MIS,System error during data entry,Medium,4.58,12.31,Closed,Yes,Within 8 Hours
HD0029,7/11/2026,Student,Postgraduate School,Payment/Invoice,Receipt cannot be generated,Low,2.4,29.34,In Progress,No,Within 8 Hours
HD0030,7/15/2026,Student,Library,Admission,Admission status not displaying,Medium,3.12,9.22,Closed,Yes,Within 8 Hours
HD0031,1/25/2026,Staff,College of Plant Science,Portal,Programme information not updating,Low,2.92,8.88,Pending,No,Within 8 Hours
HD0032,6/2/2026,Student,College of Agricultural Management,Portal,Unable to login to student portal,High,0.82,2.32,Closed,Yes,Within 8 Hours
HD0033,6/25/2026,Student,College of Environmental Resources,ID Card,ID card printing problem,Medium,4.06,10.33,Closed,Yes,Within 8 Hours
HD0034,9/1/2026,Staff,Bursary,Internet/Network,Network connection unavailable,Medium,2.5,11.73,Closed,Yes,Within 8 Hours
HD0035,8/31/2026,Staff,Registry,Registration,Registration page not responding,Low,4.64,1.86,Closed,Yes,Within 8 Hours
HD0036,7/4/2026,Student,College of Engineering,Portal,Student profile not displaying correctly,Low,4.64,5.89,Closed,Yes,Within 8 Hours
HD0037,8/31/2026,Postgraduate Student,College of Plant Science,Others,General ICT support request,Medium,2.55,10.98,Closed,Yes,Within 8 Hours
HD0038,3/18/2026,Student,Academic Planning,Student Information,Biodata information needs correction,High,0.36,8.63,Closed,Yes,Within 8 Hours
HD0039,8/25/2026,Student,ICTREC,Admission,Change of course not reflecting,Medium,2.73,9.88,Pending,No,Within 8 Hours
HD0040,7/13/2026,Student,College of Engineering,Registration,Registered course not displaying,Medium,2.73,1.43,Closed,Yes,Within 8 Hours
HD0041,6/3/2026,Student,Registry,Admission,Admission application issue,Medium,2.3,6.17,Closed,Yes,Within 8 Hours
HD0042,3/9/2026,Student,Academic Planning,Registration,Course registration error,High,3.38,4.72,Closed,Yes,Within 8 Hours
HD0043,3/6/2026,Postgraduate Student,College of Agricultural Management,Payment/Invoice,Outstanding invoice still showing after payment,High,0.96,47,Pending,No,Within 8 Hours
HD0044,8/31/2026,Staff,College of Computing Sciences,Software/MIS,MIS application not responding,High,2.48,10.59,Closed,Yes,Within 8 Hours
HD0045,8/12/2026,Postgraduate Student,Student Affairs,Admission,Admission application issue,High,1.12,36.31,Closed,Yes,Within 8 Hours
HD0046,3/3/2026,Staff,College of Engineering,Internet/Network,Network connection unavailable,High,1.58,14.6,Closed,Yes,Within 8 Hours
HD0047,6/18/2026,Staff,Student Affairs,Internet/Network,Wi-Fi connection unstable,Critical,0.54,8.08,Closed,Yes,Within 8 Hours
